in s,CH1 in V,CH2 in V
-2.400E-06,-6.000E-02,6.000E-02
-2.360E-06,-6.000E-02,6.000E-02
-2.320E-06,-6.000E-02,2.000E-02
-2.280E-06,-6.000E-02,2.000E-02
-2.240E-06,-6.000E-02,2.000E-02
-2.200E-06,-6.000E-02,6.000E-02
-2.160E-06,-6.000E-02,2.000E-02
-2.120E-06,-6.000E-02,6.000E-02
-2.080E-06,-6.000E-02,6.000E-02
-2.040E-06,-6.000E-02,2.000E-02
-2.000E-06,-6.000E-02,6.000E-02
-1.960E-06,-6.000E-02,6.000E-02
-1.920E-06,-6.000E-02,2.000E-02
-1.880E-06,-6.000E-02,2.000E-02
-1.840E-06,-6.000E-02,2.000E-02
-1.800E-06,-6.000E-02,2.000E-02
-1.760E-06,-6.000E-02,6.000E-02
-1.720E-06,-6.000E-02,2.000E-02
-1.680E-06,-6.000E-02,6.000E-02
-1.640E-06,-6.000E-02,2.000E-02
-1.600E-06,-6.000E-02,6.000E-02
-1.560E-06,-6.000E-02,2.000E-02
-1.520E-06,-6.000E-02,2.000E-02
-1.480E-06,-6.000E-02,2.000E-02
-1.440E-06,-6.000E-02,6.000E-02
-1.400E-06,-6.000E-02,2.000E-02
-1.360E-06,-6.000E-02,6.000E-02
-1.320E-06,-6.000E-02,2.000E-02
-1.280E-06,-6.000E-02,2.000E-02
-1.240E-06,-2.000E-02,6.000E-02
-1.200E-06,-6.000E-02,2.000E-02
-1.160E-06,-6.000E-02,2.000E-02
-1.120E-06,-6.000E-02,6.000E-02
-1.080E-06,-6.000E-02,2.000E-02
-1.040E-06,-6.000E-02,6.000E-02
-1.000E-06,-6.000E-02,6.000E-02
-9.600E-07,-6.000E-02,6.000E-02
-9.200E-07,-6.000E-02,6.000E-02
-8.800E-07,-6.000E-02,6.000E-02
-8.400E-07,-6.000E-02,6.000E-02
-8.000E-07,-6.000E-02,2.000E-02
-7.600E-07,-6.000E-02,6.000E-02
-7.200E-07,-6.000E-02,2.000E-02
-6.800E-07,-6.000E-02,6.000E-02
-6.400E-07,-6.000E-02,6.000E-02
-6.000E-07,-6.000E-02,6.000E-02
-5.600E-07,-6.000E-02,6.000E-02
-5.200E-07,2.000E-02,6.000E-02
-4.800E-07,1.400E-01,6.000E-02
-4.400E-07,2.600E-01,2.000E-02
-4.000E-07,3.800E-01,6.000E-02
-3.600E-07,5.000E-01,2.000E-02
-3.200E-07,5.800E-01,6.000E-02
-2.800E-07,6.600E-01,6.000E-02
-2.400E-07,7.800E-01,6.000E-02
-2.000E-07,9.000E-01,2.000E-02
-1.600E-07,9.400E-01,6.000E-02
-1.200E-07,1.020E+00,6.000E-02
-8.000E-08,1.100E+00,6.000E-02
-4.000E-08,1.180E+00,6.000E-02
-7.513E-20,1.220E+00,6.000E-02
4.000E-08,1.260E+00,6.000E-02
8.000E-08,1.300E+00,2.000E-02
1.200E-07,1.380E+00,2.000E-02
1.600E-07,1.420E+00,6.000E-02
2.000E-07,1.460E+00,2.000E-02
2.400E-07,1.500E+00,6.000E-02
2.800E-07,1.540E+00,6.000E-02
3.200E-07,1.580E+00,2.000E-02
3.600E-07,1.620E+00,6.000E-02
4.000E-07,1.660E+00,6.000E-02
4.400E-07,1.660E+00,2.000E-02
4.800E-07,1.740E+00,6.000E-02
5.200E-07,1.740E+00,2.000E-02
5.600E-07,1.780E+00,2.000E-02
6.000E-07,1.780E+00,2.000E-02
6.400E-07,1.820E+00,2.000E-02
6.800E-07,1.820E+00,6.000E-02
7.200E-07,1.860E+00,2.000E-02
7.600E-07,1.860E+00,2.000E-02
8.000E-07,1.900E+00,2.000E-02
8.400E-07,1.900E+00,2.000E-02
8.800E-07,1.940E+00,2.000E-02
9.200E-07,1.940E+00,6.000E-02
9.600E-07,1.940E+00,2.000E-02
1.000E-06,1.940E+00,6.000E-02
1.040E-06,1.980E+00,2.000E-02
1.080E-06,1.980E+00,2.000E-02
1.120E-06,1.980E+00,2.000E-02
1.160E-06,2.020E+00,2.000E-02
1.200E-06,2.020E+00,2.000E-02
1.240E-06,2.020E+00,2.000E-02
1.280E-06,2.020E+00,2.000E-02
1.320E-06,2.060E+00,2.000E-02
1.360E-06,2.060E+00,2.000E-02
1.400E-06,2.060E+00,6.000E-02
1.440E-06,2.060E+00,2.000E-02
1.480E-06,2.060E+00,6.000E-02
1.520E-06,2.060E+00,2.000E-02
1.560E-06,2.100E+00,6.000E-02
1.600E-06,2.100E+00,2.000E-02
1.640E-06,2.100E+00,2.000E-02
1.680E-06,2.100E+00,6.000E-02
1.720E-06,2.100E+00,6.000E-02
1.760E-06,2.100E+00,2.000E-02
1.800E-06,2.100E+00,6.000E-02
1.840E-06,2.100E+00,2.000E-02
1.880E-06,2.100E+00,6.000E-02
1.920E-06,2.100E+00,6.000E-02
1.960E-06,2.100E+00,2.000E-02
2.000E-06,2.140E+00,2.000E-02
2.040E-06,2.140E+00,6.000E-02
2.080E-06,2.140E+00,6.000E-02
2.120E-06,2.140E+00,6.000E-02
2.160E-06,2.140E+00,2.000E-02
2.200E-06,2.140E+00,6.000E-02
2.240E-06,2.140E+00,2.000E-02
2.280E-06,2.140E+00,2.000E-02
2.320E-06,2.140E+00,2.000E-02
2.360E-06,2.140E+00,2.000E-02
2.400E-06,2.140E+00,2.000E-02
2.440E-06,2.140E+00,2.000E-02
2.480E-06,2.140E+00,6.000E-02
2.520E-06,2.140E+00,2.000E-02
2.560E-06,2.140E+00,6.000E-02
2.600E-06,2.140E+00,6.000E-02
2.640E-06,2.140E+00,6.000E-02
2.680E-06,2.140E+00,2.000E-02
2.720E-06,2.140E+00,2.000E-02
2.760E-06,2.140E+00,6.000E-02
2.800E-06,2.140E+00,2.000E-02
2.840E-06,2.140E+00,6.000E-02
2.880E-06,2.140E+00,6.000E-02
2.920E-06,2.140E+00,2.000E-02
2.960E-06,2.140E+00,2.000E-02
3.000E-06,2.140E+00,2.000E-02
3.040E-06,2.140E+00,2.000E-02
3.080E-06,2.140E+00,2.000E-02
3.120E-06,2.140E+00,6.000E-02
3.160E-06,2.140E+00,6.000E-02
3.200E-06,2.140E+00,2.000E-02
3.240E-06,2.140E+00,6.000E-02
3.280E-06,2.140E+00,2.000E-02
3.320E-06,2.140E+00,2.000E-02
3.360E-06,2.140E+00,2.000E-02
3.400E-06,2.140E+00,2.000E-02
3.440E-06,2.140E+00,2.000E-02
3.480E-06,2.140E+00,2.000E-02
3.520E-06,2.140E+00,2.000E-02
3.560E-06,2.140E+00,2.000E-02
3.600E-06,2.140E+00,6.000E-02
3.640E-06,2.140E+00,2.000E-02
3.680E-06,2.140E+00,6.000E-02
3.720E-06,2.140E+00,2.000E-02
3.760E-06,2.140E+00,2.000E-02
3.800E-06,2.140E+00,2.000E-02
3.840E-06,2.180E+00,2.000E-02
3.880E-06,2.140E+00,6.000E-02
3.920E-06,2.140E+00,2.000E-02
3.960E-06,2.140E+00,2.000E-02
4.000E-06,2.140E+00,2.000E-02
4.040E-06,2.180E+00,2.000E-02
4.080E-06,2.140E+00,6.000E-02
4.120E-06,2.140E+00,6.000E-02
4.160E-06,2.140E+00,2.000E-02
4.200E-06,2.140E+00,2.000E-02
4.240E-06,2.140E+00,2.000E-02
4.280E-06,2.180E+00,6.000E-02
4.320E-06,2.140E+00,6.000E-02
