in s,CH1 in V,CH2 in V
-6.359E-03,4.100E+00,2.000E-02
-6.319E-03,4.100E+00,2.000E-02
-6.279E-03,4.100E+00,2.000E-02
-6.239E-03,4.020E+00,2.000E-02
-6.199E-03,4.100E+00,2.000E-02
-6.159E-03,4.020E+00,2.000E-02
-6.119E-03,4.100E+00,2.000E-02
-6.079E-03,4.100E+00,2.000E-02
-6.039E-03,4.020E+00,2.000E-02
-5.999E-03,4.020E+00,-2.000E-02
-5.959E-03,4.060E+00,2.000E-02
-5.919E-03,4.060E+00,2.000E-02
-5.879E-03,4.020E+00,-2.000E-02
-5.839E-03,4.100E+00,2.000E-02
-5.799E-03,4.020E+00,2.000E-02
-5.759E-03,4.060E+00,-2.000E-02
-5.719E-03,4.060E+00,-2.000E-02
-5.679E-03,4.020E+00,2.000E-02
-5.639E-03,4.060E+00,2.000E-02
-5.599E-03,4.020E+00,2.000E-02
-5.559E-03,4.060E+00,2.000E-02
-5.519E-03,4.060E+00,2.000E-02
-5.479E-03,4.060E+00,2.000E-02
-5.439E-03,4.060E+00,2.000E-02
-5.399E-03,4.060E+00,2.000E-02
-5.359E-03,4.020E+00,2.000E-02
-5.319E-03,4.060E+00,2.000E-02
-5.279E-03,4.060E+00,2.000E-02
-5.239E-03,4.060E+00,2.000E-02
-5.199E-03,4.060E+00,2.000E-02
-5.159E-03,4.060E+00,2.000E-02
-5.119E-03,4.020E+00,2.000E-02
-5.079E-03,4.100E+00,2.000E-02
-5.039E-03,4.100E+00,2.000E-02
-4.999E-03,4.020E+00,2.000E-02
-4.959E-03,4.060E+00,2.000E-02
-4.919E-03,4.060E+00,2.000E-02
-4.879E-03,4.020E+00,2.000E-02
-4.840E-03,4.100E+00,2.000E-02
-4.800E-03,4.060E+00,2.000E-02
-4.760E-03,1.060E+00,2.000E-02
-4.720E-03,1.060E+00,2.000E-02
-4.680E-03,1.020E+00,2.000E-02
-4.640E-03,1.020E+00,2.000E-02
-4.600E-03,1.020E+00,2.000E-02
-4.560E-03,1.020E+00,2.000E-02
-4.520E-03,1.020E+00,2.000E-02
-4.480E-03,1.020E+00,2.000E-02
-4.440E-03,1.020E+00,2.000E-02
-4.400E-03,1.020E+00,2.000E-02
-4.360E-03,1.020E+00,2.000E-02
-4.320E-03,1.020E+00,2.000E-02
-4.280E-03,1.020E+00,2.000E-02
-4.240E-03,9.800E-01,2.000E-02
-4.200E-03,9.800E-01,2.000E-02
-4.160E-03,1.020E+00,2.000E-02
-4.120E-03,9.800E-01,2.000E-02
-4.080E-03,1.020E+00,2.000E-02
-4.040E-03,9.800E-01,2.000E-02
-4.000E-03,9.800E-01,2.000E-02
-3.960E-03,1.020E+00,2.000E-02
-3.920E-03,9.800E-01,2.000E-02
-3.880E-03,1.020E+00,-2.000E-02
-3.840E-03,1.020E+00,-2.000E-02
-3.800E-03,1.020E+00,-2.000E-02
-3.760E-03,1.020E+00,2.000E-02
-3.720E-03,1.020E+00,2.000E-02
-3.680E-03,1.020E+00,2.000E-02
-3.640E-03,1.020E+00,-2.000E-02
-3.600E-03,1.020E+00,2.000E-02
-3.560E-03,1.020E+00,2.000E-02
-3.520E-03,1.020E+00,2.000E-02
-3.480E-03,1.020E+00,2.000E-02
-3.440E-03,1.020E+00,2.000E-02
-3.400E-03,1.020E+00,2.000E-02
-3.360E-03,1.020E+00,2.000E-02
-3.320E-03,1.020E+00,2.000E-02
-3.280E-03,1.020E+00,2.000E-02
-3.240E-03,1.020E+00,2.000E-02
-3.200E-03,1.020E+00,2.000E-02
-3.160E-03,1.020E+00,2.000E-02
-3.120E-03,1.020E+00,2.000E-02
-3.080E-03,9.800E-01,2.000E-02
-3.040E-03,1.060E+00,2.000E-02
-3.000E-03,1.020E+00,2.000E-02
-2.960E-03,1.020E+00,2.000E-02
-2.920E-03,1.020E+00,2.000E-02
-2.880E-03,7.400E-01,2.000E-02
-2.840E-03,1.020E+00,2.000E-02
-2.800E-03,9.800E-01,2.000E-02
-2.760E-03,1.020E+00,2.000E-02
-2.720E-03,1.020E+00,2.000E-02
-2.680E-03,1.020E+00,2.000E-02
-2.640E-03,1.020E+00,2.000E-02
-2.600E-03,1.020E+00,2.000E-02
-2.560E-03,1.020E+00,2.000E-02
-2.520E-03,1.020E+00,2.000E-02
-2.480E-03,9.800E-01,2.000E-02
-2.440E-03,1.020E+00,2.000E-02
-2.400E-03,1.020E+00,2.000E-02
-2.360E-03,1.020E+00,2.000E-02
-2.320E-03,1.020E+00,2.000E-02
-2.280E-03,1.020E+00,2.000E-02
-2.240E-03,1.020E+00,2.000E-02
-2.200E-03,1.020E+00,2.000E-02
-2.160E-03,1.020E+00,2.000E-02
-2.120E-03,1.020E+00,2.000E-02
-2.080E-03,1.020E+00,2.000E-02
-2.040E-03,1.020E+00,2.000E-02
-2.000E-03,1.020E+00,2.000E-02
-1.960E-03,1.020E+00,2.000E-02
-1.920E-03,1.020E+00,2.000E-02
-1.880E-03,1.020E+00,2.000E-02
-1.840E-03,9.800E-01,2.000E-02
-1.800E-03,1.020E+00,2.000E-02
-1.760E-03,1.020E+00,2.000E-02
-1.720E-03,9.800E-01,2.000E-02
-1.680E-03,9.800E-01,2.000E-02
-1.640E-03,9.000E-01,2.000E-02
-1.600E-03,1.020E+00,2.000E-02
-1.560E-03,9.800E-01,2.000E-02
-1.520E-03,9.800E-01,2.000E-02
-1.480E-03,1.020E+00,2.000E-02
-1.440E-03,4.200E-01,2.000E-02
-1.400E-03,1.020E+00,2.000E-02
-1.360E-03,1.020E+00,2.000E-02
-1.320E-03,9.800E-01,2.000E-02
-1.280E-03,1.020E+00,2.000E-02
-1.240E-03,1.020E+00,2.000E-02
-1.200E-03,1.020E+00,2.000E-02
-1.160E-03,1.020E+00,2.000E-02
-1.120E-03,1.020E+00,2.000E-02
-1.080E-03,1.020E+00,2.000E-02
-1.040E-03,1.020E+00,2.000E-02
-1.000E-03,1.020E+00,2.000E-02
-9.605E-04,1.020E+00,2.000E-02
-9.205E-04,9.800E-01,2.000E-02
-8.805E-04,1.020E+00,2.000E-02
-8.405E-04,1.020E+00,2.000E-02
-8.005E-04,1.020E+00,2.000E-02
-7.605E-04,9.800E-01,2.000E-02
-7.205E-04,1.020E+00,2.000E-02
-6.805E-04,1.020E+00,2.000E-02
-6.406E-04,1.020E+00,2.000E-02
-6.006E-04,1.020E+00,-2.000E-02
-5.606E-04,1.020E+00,2.000E-02
-5.206E-04,1.020E+00,2.000E-02
-4.806E-04,1.020E+00,2.000E-02
-4.406E-04,1.020E+00,2.000E-02
-4.006E-04,8.600E-01,2.000E-02
-3.606E-04,1.020E+00,2.000E-02
-3.206E-04,1.020E+00,2.000E-02
-2.806E-04,1.020E+00,2.000E-02
-2.407E-04,1.020E+00,2.000E-02
-2.007E-04,7.400E-01,2.000E-02
-1.607E-04,9.800E-01,2.000E-02
-1.207E-04,1.020E+00,2.000E-02
-8.070E-05,9.800E-01,2.000E-02
-4.071E-05,1.020E+00,2.000E-02
-7.188E-07,1.020E+00,2.000E-02
3.927E-05,3.940E+00,2.000E-02
7.926E-05,4.020E+00,-2.000E-02
1.193E-04,3.980E+00,2.000E-02
1.592E-04,3.980E+00,2.000E-02
1.992E-04,4.020E+00,2.000E-02
2.392E-04,4.060E+00,2.000E-02
2.792E-04,4.020E+00,-2.000E-02
3.192E-04,4.060E+00,2.000E-02
3.592E-04,4.020E+00,2.000E-02
3.992E-04,4.060E+00,2.000E-02
4.392E-04,4.020E+00,2.000E-02
4.792E-04,4.060E+00,-2.000E-02
5.192E-04,4.060E+00,2.000E-02
5.591E-04,4.020E+00,2.000E-02
5.991E-04,4.060E+00,2.000E-02
6.391E-04,4.060E+00,2.000E-02
6.791E-04,4.060E+00,2.000E-02
7.191E-04,4.060E+00,2.000E-02
7.591E-04,4.100E+00,2.000E-02
7.991E-04,4.020E+00,2.000E-02
8.391E-04,4.020E+00,2.000E-02
