in s,CH1 in V,CH2 in V
-1.980E-06,-6.000E-02,6.000E-02
-1.960E-06,-6.000E-02,2.000E-02
-1.940E-06,-2.000E-02,2.000E-02
-1.920E-06,-2.000E-02,6.000E-02
-1.900E-06,-2.000E-02,6.000E-02
-1.880E-06,-6.000E-02,2.000E-02
-1.860E-06,-2.000E-02,6.000E-02
-1.840E-06,-2.000E-02,6.000E-02
-1.820E-06,-6.000E-02,2.000E-02
-1.800E-06,-2.000E-02,6.000E-02
-1.780E-06,-2.000E-02,2.000E-02
-1.760E-06,-6.000E-02,2.000E-02
-1.740E-06,-6.000E-02,2.000E-02
-1.720E-06,-6.000E-02,6.000E-02
-1.700E-06,-2.000E-02,2.000E-02
-1.680E-06,-2.000E-02,2.000E-02
-1.660E-06,-2.000E-02,6.000E-02
-1.640E-06,-2.000E-02,6.000E-02
-1.620E-06,-2.000E-02,6.000E-02
-1.600E-06,-6.000E-02,6.000E-02
-1.580E-06,-6.000E-02,2.000E-02
-1.560E-06,-6.000E-02,2.000E-02
-1.540E-06,-2.000E-02,6.000E-02
-1.520E-06,-6.000E-02,6.000E-02
-1.500E-06,-6.000E-02,6.000E-02
-1.480E-06,-6.000E-02,2.000E-02
-1.460E-06,-2.000E-02,6.000E-02
-1.440E-06,-6.000E-02,2.000E-02
-1.420E-06,-2.000E-02,6.000E-02
-1.400E-06,-6.000E-02,2.000E-02
-1.380E-06,-6.000E-02,6.000E-02
-1.360E-06,-2.000E-02,6.000E-02
-1.340E-06,-6.000E-02,6.000E-02
-1.320E-06,-2.000E-02,6.000E-02
-1.300E-06,-6.000E-02,6.000E-02
-1.280E-06,-2.000E-02,6.000E-02
-1.260E-06,-2.000E-02,2.000E-02
-1.240E-06,-2.000E-02,2.000E-02
-1.220E-06,-2.000E-02,2.000E-02
-1.200E-06,-6.000E-02,6.000E-02
-1.180E-06,-2.000E-02,2.000E-02
-1.160E-06,-6.000E-02,6.000E-02
-1.140E-06,-2.000E-02,6.000E-02
-1.120E-06,-6.000E-02,6.000E-02
-1.100E-06,-2.000E-02,6.000E-02
-1.080E-06,-2.000E-02,2.000E-02
-1.060E-06,-6.000E-02,2.000E-02
-1.040E-06,-6.000E-02,2.000E-02
-1.020E-06,-2.000E-02,6.000E-02
-1.000E-06,-2.000E-02,6.000E-02
-9.800E-07,-6.000E-02,6.000E-02
-9.600E-07,-6.000E-02,6.000E-02
-9.400E-07,-2.000E-02,6.000E-02
-9.200E-07,-2.000E-02,2.000E-02
-9.000E-07,-6.000E-02,6.000E-02
-8.800E-07,-2.000E-02,6.000E-02
-8.600E-07,-2.000E-02,6.000E-02
-8.400E-07,-6.000E-02,6.000E-02
-8.200E-07,-2.000E-02,6.000E-02
-8.000E-07,-2.000E-02,6.000E-02
-7.800E-07,-2.000E-02,6.000E-02
-7.600E-07,-6.000E-02,6.000E-02
-7.400E-07,-6.000E-02,2.000E-02
-7.200E-07,-6.000E-02,2.000E-02
-7.000E-07,-2.000E-02,2.000E-02
-6.800E-07,-2.000E-02,6.000E-02
-6.600E-07,-6.000E-02,6.000E-02
-6.400E-07,-6.000E-02,6.000E-02
-6.200E-07,-6.000E-02,6.000E-02
