in s,D7,D6,D5,D4,D3,D2,D1,D0
4.800E-06,0,0,0,0,0,0,1,0
4.840E-06,0,0,0,0,0,0,0,0
4.880E-06,0,0,0,0,0,0,1,0
4.920E-06,0,0,0,0,0,0,0,0
4.960E-06,0,0,0,0,0,0,1,0
5.000E-06,0,0,0,0,0,0,0,0
5.040E-06,0,0,0,0,0,0,0,0
5.080E-06,0,0,0,0,0,0,0,0
5.120E-06,0,0,0,0,0,0,0,0
5.160E-06,0,0,0,0,0,0,0,0
5.200E-06,0,0,0,0,0,0,0,0
5.240E-06,0,0,0,0,0,0,0,0
5.280E-06,0,0,0,0,0,0,0,0
5.320E-06,0,0,0,0,0,0,0,0
5.360E-06,0,0,0,0,0,0,0,0
5.400E-06,0,0,0,0,0,0,0,0
5.440E-06,0,0,0,0,0,0,0,0
5.480E-06,0,0,0,0,0,0,0,0
5.520E-06,0,0,0,0,0,0,0,0
5.560E-06,0,0,0,0,0,0,0,0
5.600E-06,0,0,0,0,0,0,0,0
5.640E-06,0,0,0,0,0,0,0,0
5.680E-06,0,0,0,0,0,0,0,0
5.720E-06,0,0,0,0,0,0,0,0
5.760E-06,0,0,0,0,0,0,0,0
5.800E-06,0,0,0,0,0,0,0,0
5.840E-06,0,0,0,0,0,0,0,0
5.880E-06,0,0,0,0,0,0,0,0
5.920E-06,0,0,0,0,0,0,0,0
5.960E-06,0,0,0,0,0,0,0,0
6.000E-06,0,0,0,0,0,0,0,0
6.040E-06,0,0,0,0,0,0,0,0
6.080E-06,0,0,0,0,0,0,0,0
6.120E-06,0,0,0,0,0,0,0,0
6.160E-06,0,0,0,0,0,0,0,0
6.200E-06,0,0,0,0,0,0,0,0
6.240E-06,0,0,0,0,0,0,0,0
6.280E-06,0,0,0,0,0,0,0,0
6.320E-06,0,0,0,0,0,0,0,0
6.360E-06,0,0,0,0,0,0,1,0
6.400E-06,0,0,0,0,0,0,0,0
6.440E-06,0,0,0,0,0,0,1,0
6.480E-06,0,0,0,0,0,0,0,0
6.520E-06,0,0,0,0,0,0,1,0
6.560E-06,0,0,0,0,0,0,0,0
6.600E-06,0,0,0,0,0,0,1,0
6.640E-06,0,0,0,0,0,0,0,0
6.680E-06,0,0,0,0,0,0,1,0
6.720E-06,0,0,0,0,0,0,0,0
6.760E-06,0,0,0,0,0,0,1,0
6.800E-06,0,0,0,0,0,0,0,0
6.840E-06,0,0,0,0,0,0,1,0
6.880E-06,0,0,0,0,0,0,0,0
6.920E-06,0,0,0,0,0,0,1,0
6.960E-06,0,0,0,0,0,0,0,0
7.000E-06,0,0,0,0,0,0,0,0
7.040E-06,0,0,0,0,0,0,0,0
7.080E-06,0,0,0,0,0,0,0,0
7.120E-06,0,0,0,0,0,0,0,0
7.160E-06,0,0,0,0,0,0,0,0
7.200E-06,0,0,0,0,0,0,0,0
7.240E-06,0,0,0,0,0,0,0,0
7.280E-06,0,0,0,0,0,0,0,0
7.320E-06,0,0,0,0,0,0,0,0
7.360E-06,0,0,0,0,0,0,0,0
7.400E-06,0,0,0,0,0,0,0,0
7.440E-06,0,0,0,0,0,0,0,0
7.480E-06,0,0,0,0,0,0,0,0
7.520E-06,0,0,0,0,0,0,0,0
7.560E-06,0,0,0,0,0,0,0,0
